s,gen_pts,row_red,col_red,row_col_red,std_mat,std_mat_pts,theo_col,theo_row
1,0.000732223,0.000908766,0.000871976,0.0,0.000795805,0.0,81920.0,86016.0
3,0.001887025,0.001949212,0.001407266,0.0,0.001949632,0.0,163840.0,176128.0
10,0.00581242,0.005608612,0.003591592,0.0,0.006340647,0.0,450560.0,491520.0
31,0.017795893,0.01666979,0.010303002,0.0,0.018702235,0.0,1.31072e6,1.437696e6
100,0.058367608,0.055532893,0.032426121,0.0,0.059762481,0.0,4.13696e6,4.54656e6
316,0.187889086,0.17988737,0.102612419,0.0,0.195491634,0.0,1.298432e7,1.4278656e7
1000,0.595587831,0.583114961,0.324332554,0.0,0.605902947,0.0,4.100096e7,4.509696e7
3162,1.899670161,1.808976419,1.031840986,0.0,1.94011155,0.0,1.2955648e8,1.42508032e8
10000,6.927129681,5.768441353,3.260377207,0.0,7.010336512,0.0,4.0964096e8,4.5060096e8
